date,taxi_trips,fhv_trips,log_taxi,log_fhv,d1_taxi,d1_fhv,d7_taxi,d7_fhv,final_taxi,final_fhv
2020-05-30,11331,25751,9.335297611380566,10.156228740289281,-0.2921729002342843,-0.18718975723628972,-0.5579912952320303,-0.2864862008598532,0.26581839499774595,0.09929644362356349
2020-05-31,8826,21304,9.085457189829492,9.966650127493768,-0.2498404215510739,-0.18957861279551302,-0.003126370332383388,-0.13002706597798763,-0.2467140512186905,-0.05955154681752539
2020-06-01,14670,32976,9.593559871137028,10.40353530313024,0.5081026813075358,0.43688517563647267,-0.040905498340602975,0.12644636212532134,0.54900817964813875,0.3104388135111513
2020-06-02,14958,28667,9.613001552751612,10.263501914406909,0.019441681614583928,-0.1400333887233316,0.5343973884705253,0.29385079256310753,-0.5149557068559414,-0.43388418128643913
2020-06-03,14990,30344,9.615138591096644,10.320354083368734,0.002137038345031428,0.0568521689618251,0.0866672284670269,0.014368206301687891,-0.08453019012199547,0.04248396266013721
2020-06-04,15836,30711,9.670041108226021,10.33237617558788,0.05490251712937777,0.012022092219146074,-0.048558806837000645,-0.023601882248634354,0.10346132396637842,0.03562397446778043
2020-06-05,16501,31654,9.711176264112805,10.362619801893228,0.04113515588678318,0.030243626305347604,0.1106753818636026,0.04636974138410288,-0.06954022597681941,-0.016126115078755276
2020-06-06,12131,23735,9.40351943877092,10.074706030985418,-0.3076568253418852,-0.2879137709078101,-0.2921729002342843,-0.18718975723628972,-0.015483925107600882,-0.1007240136715204
2020-06-07,9907,20699,9.20099685697303,9.937840668907791,-0.20252258179788996,-0.13686536207762678,-0.2498404215510739,-0.18957861279551302,0.04731783975318393,0.05271325071788624
2020-06-08,16974,34721,9.739438040529622,10.45509997020284,0.5384411835565928,0.5172593012950486,0.5081026813075358,0.43688517563647267,0.030338502249056987,0.08037412565857593
2020-06-09,17721,35048,9.782505655975346,10.464473829493734,0.04306761544572346,0.009373859290894515,0.019441681614583928,-0.1400333887233316,0.023625933831139534,0.1494072480142261
2020-06-10,18018,36770,9.799126537211386,10.512437574295317,0.01662088123604022,0.047963744801583275,0.002137038345031428,0.0568521689618251,0.014483842891008791,-0.008888424160241826
2020-06-11,17823,35015,9.78824503702385,10.463531820089617,-0.010881500187535309,-0.04890575420570009,0.05490251712937777,0.012022092219146074,-0.06578401731691308,-0.060927846424846166
2020-06-12,20108,38003,9.908873024812467,10.545420382960764,0.12062798778861605,0.08188856287114632,0.04113515588678318,0.030243626305347604,0.07949283190183287,0.051644936565798716
2020-06-13,14072,29822,9.551942286417393,10.303001655150853,-0.3569307383950733,-0.2424187278099108,-0.3076568253418852,-0.2879137709078101,-0.04927391305318807,0.04549504309789931
2020-06-14,10891,23494,9.295692039075686,10.064500348383831,-0.25625024734170765,-0.23850130676702186,-0.20252258179788996,-0.13686536207762678,-0.05372766554381769,-0.10163594468939507
